w  u
2066.55329231  5.60332352454
2100.75667826  5.42882893212
2265.75457637  5.05633686195
2433.61868002  4.44575865276
2515.59215806  4.30316174316
2629.47605763  4.17653915237
2648.10639355  3.96231258201
2925.65062865  3.57430478593
2974.85382352  3.48715939924
3039.72560859  3.43180978586
3137.55875721  3.3051362403
3202.3350021  3.25772283156
3235.5829862  3.16259028547
3300.35923109  3.11517687673
3364.84885543  3.09157208188
3543.22237933  2.94134469625
3592.33003401  2.8621355142
3689.68548171  2.77514299181
3867.86792525  2.64078801544
3949.07708182  2.56168074292
4062.57882065  2.46680297066
4159.6476478  2.40361906218
4256.71647495  2.34043515369
4369.45389231  2.30904701851
4386.17342454  2.25354454083
4498.9108419  2.22215640565
4595.78858868  2.17484490643
4660.3737532  2.14330390696
4773.30225093  2.0960433625
4870.56215844  2.01698704475
5015.87877861  1.94601979593
5064.41319219  1.91442784168
5144.95356747  1.89087400161
5241.35361333  1.88324352556
5306.12985822  1.83583011681
5483.35689991  1.78083718679
5580.13910651  1.74146189221
5628.38689953  1.73367855187
5724.97802576  1.71017566655
5757.46168839  1.67853275754
5854.1483548  1.6470936676
5982.84098292  1.62369269181
6111.72469141  1.58441930676
6240.41731952  1.56101833098
6401.30698972  1.52978306009
6626.68628425  1.47494299436
6819.77299652  1.43587342836
6932.51041388  1.40448529318
7109.54637521  1.36536477242
7318.58829824  1.33428236583
7431.13463523  1.31876663992
7575.68693392  1.31128902817
7640.08101808  1.29562043796
8811.88137731  1.29140393116
8972.48442695  1.28397727417
9052.83372186  1.27629584337
9213.53231169  1.26093298175
9358.18015057  1.24551916536
9454.67573661  1.22995248468
9631.3295372  1.22257678246
9743.97141438  1.19912485191
9872.28188176  1.20746869467
10048.9356823  1.20009299245
10241.6402339  1.19276824499
10386.0969924  1.19322683787
10530.7448313  1.17781302149
10659.3419192  1.16234825034
10787.5568464  1.17862829773
10948.2554362  1.16326543611
11140.8644476  1.16387689329
11269.3659953  1.15634832677
11429.969045  1.14892166979
11606.5273054  1.1494821722
11751.0796041  1.14200456045
11863.4348607  1.14236124381
11959.7393664  1.1426669724
12104.1961249  1.14312556528
12280.9454657  1.12781365842
12409.4470134  1.12028509191
12553.8082317  1.12867988943
12714.3157412  1.12918943708
12826.766538  1.1216099158
12906.9247526  1.12980089426
13051.5725914  1.11438707787
